ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Good
  
",3.0 颗星，最多 5 颗星,Elaine ,评论于 2022年9月12日 在美国 🇺🇸 发布,"







  
  
    I like it does the job, I little loud and a bit pricey.. I would like to get the 10,000 but instead. Can I trade it in for the higher but?
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Ac Review
  
",5.0 颗星，最多 5 颗星,Erik Mackie,评论于 2022年9月12日 在美国 🇺🇸 发布,"







  
  
    The unit is very efficient and super quiet!  So far so good after a couple of months ths use.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Sadly An Untrustworthy Product
  
",3.0 颗星，最多 5 颗星,Debbie,评论于 2022年9月12日 在美国 🇺🇸 发布,"







  
  
    Worked great when it did work, but quit unexpectedly 6 months in. No rhyme or reason, just turned off and never turned back on.I loved the Bluetooth aspect and how energy efficient it was. But unfortunately it is not a trustworthy product.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Es muy bueno
  
",5.0 颗星，最多 5 颗星,Mónica,评论于 2022年9月12日 在美国 🇺🇸 发布,"







  
  
    Es muy bueno enfría muy bien pone el cuarto muy elado
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Very good for the money
  
",5.0 颗星，最多 5 颗星,noodlerunner,评论于 2022年9月11日 在美国 🇺🇸 发布,"







  
  
    This unit is performing well cooling a 500sf storage area.  I might buy another one.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Really quite in low fan mode
  
",5.0 颗星，最多 5 颗星,Edith,评论于 2022年9月11日 在美国 🇺🇸 发布,"







  
  
    Is very good ac, cools really good and is very low noise the only inconvenient I found is the size, need a big space to be set up, I have a small apartment so if have good space is very good option
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Great
  
",5.0 颗星，最多 5 颗星,Deb,评论于 2022年9月11日 在美国 🇺🇸 发布,"







  
  
    We love having this in our room. Living in Florida it is always hot and this makes our room cooler. The only negative is where the drain cap is.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    two thumbs up
  
",5.0 颗星，最多 5 颗星,WGPB,评论于 2022年9月10日 在美国 🇺🇸 发布,"







  
  
    excellent in every function.  way better than anything by LG or the others.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    It's been working well, within the limits of a single-hose portable air conditioner.
  
",5.0 颗星，最多 5 颗星,Oregon Raven,评论于 2022年9月9日 在美国 🇺🇸 发布,"







  
  
    This has made our small apartment survivable during an extended hot summer.  A single-hose portable AC is never as efficient as a 2-hose or window unit, and won't cool as much -- that is the nature of them.  But this is equal to others I've used.  It's not quite, but it's not the noisiest I've heard either.  The hose is easy to attach (and remove from) the back of the unit, and to the outlet at the other end:  no hose clamps to mess with.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Started leaking after 13 months
  
",2.0 颗星，最多 5 颗星,Kyle Foley,评论于 2022年9月8日 在美国 🇺🇸 发布,"







  
  
    Instead of auto-stopping when the tank was full, it just leaked all over my floor. Sometimes auto-stops, sometimes just leaks. Worked great for the first 12 months.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    An answer to prayers
  
",5.0 颗星，最多 5 颗星,Kindle Customer,评论于 2022年9月7日 在美国 🇺🇸 发布,"







  
  
    I am not allowed to have a window unit in my condo building, and getting a PTAC was looking to be at least 8k because of some electrical and structural issues. I was using a portable AC from Toshiba, but it was so loud and barely cooled me while blowing straight on me. I saw a good review for this unit and so far it has been an answer to my prayers. It is really quiet and cools my studio apartment well. I have not used the heat function yet, but I hope that will also be helpful. It's a bit bulky and I wish that it came in white, but its definitely much better than spending 8k or dealing with my old portable ac.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Have had it for a little of a year and it’s leaking. didn’t notice it right away. Carpet ruined
  
",1.0 颗星，最多 5 颗星,Lindsay,评论于 2022年9月7日 在美国 🇺🇸 发布,,"颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    cold cold
  
",5.0 颗星，最多 5 颗星,daniel lomas,评论于 2022年9月7日 在美国 🇺🇸 发布,"







  
  
    still working like a champ, just clean the filter, and drain the plugs often and Itll work great.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
﻿,"







  
  
    Thermastat is poorly designed
  
",3.0 颗星，最多 5 颗星,Jacob Trenta,评论于 2022年9月6日 在美国 🇺🇸 发布,"







  
  
    This unit came highly recommended by various internet review sites, but my experience with it has been frustrating.  The thermastat seems to measure the temperature of the outside air rather than the inside air.  Our bedroom often stays warm even as the outside cools down, so the unit will often be off as the temperature inside goes several degrees past the setpoint.  There is an app for this unit, which will conveniently tell you the temperature the unit is sensing.  I have an indoor thermometer and these two temperatures are often very different.  There is a feature that allows you to control off of the temperature at the remote instead of the unit, but this feature only works as long as the remote stays connected to the unit, which it will not do for more than 10 minutes rendering that feature useless.  The result is we have to control the unit semi-manually by either raising or lowering the setpoint to extremes.  Incidentally, we have similar unit from a different manufacturer (identical chassis - probably the same hardware with different circuit board) and it has the same issue.  It also has a high pitched squeal when it starts the compressor up, so if it does kick on and off at night while you sleep, hope you're a deep sleeper.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Excellent unit
  
",5.0 颗星，最多 5 颗星,Eric,评论于 2022年9月6日 在美国 🇺🇸 发布,"







  
  
    I have the drain tube connected to a bucket, but I have seen no water come out.  This is good because it means this A/C unit is able to move all condensation out the exhaust tube.  This unit has been working nearly 24/7 since it arrived and no issues.  It is just a few feet away from where I sleep.  The noise doesn't bother me.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Broke in a Year, not worth it
  
",1.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年9月6日 在美国 🇺🇸 发布,"







  
  
    Literally broke a year into having it. There are much better air conditioners on the market, save yourself the trouble.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    My all time favorite air conditioner.
  
",5.0 颗星，最多 5 颗星,Kindle Customer,评论于 2022年9月6日 在美国 🇺🇸 发布,"







  
  
    I love this ac. It is easily the best I have owned. Being able to remotely turn the ac on and off is great. It also cools down quickly, our room was 83 and within 30 minutes it had the temp down to 63. It is 112 today and the ac is easily keeping the room at 70. It also notifies you when the filter needs cleaned or it needs to be drained. And you can turn off the button noises and lights. The negatives are it is kind of noisy. Unlike other ac's it does not keep the fan running the fan only comes on when the compressor is running. So when the fan engages it is often at full speed and it is a bit loud all of the sudden and sometimes it makes this beeping activation type noise that reminds me of r2d2. Since the remote contains the temperature sensor, so you have to think about where you place it. No matter where I place it, it doesn't match the Alexa air quality temperature sensor and sometimes I have to turn it off and back on again to get it to run when the room is hotter than it reports. But even having said all that I would buy this unit again. And plan on doing so when my other ac dies.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Wow
  
",5.0 颗星，最多 5 颗星,ray,评论于 2022年9月5日 在美国 🇺🇸 发布,"







  
  
    Wow, this thing is nice!
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Leaks Everywhere
  
",1.0 颗星，最多 5 颗星,Heated,评论于 2022年9月4日 在美国 🇺🇸 发布,"







  
  
    Leaks from everywhere., will ruin your floor. Junk.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Good value
  
",5.0 颗星，最多 5 颗星,Gregory Newsome,评论于 2022年9月4日 在美国 🇺🇸 发布,"







  
  
    A little loud.  Very effective in cooling a bedroom.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    good ventilation needed
  
",5.0 颗星，最多 5 颗星,Linda Hunter,评论于 2022年9月4日 在美国 🇺🇸 发布,"







  
  
    love it
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    I regret my decisions
  
",2.0 颗星，最多 5 颗星,Ashlee,评论于 2022年9月3日 在美国 🇺🇸 发布,"







  
  
    This air conditioner rumbles like a jet plane taking off every time it kicks on. We even put a board under it to see if it helps. You can get used to that though, what I hate the most though is the way the filter is designed. It’s not easy to clean, there are a billion little plastic pieces creating little jails for dirt to collect in. You have to take it off and use a toothbrush as a little broom to clean each lil jail cell. Then as if this wasn’t enough of a pain, you have the swap that collects in the bottom of this thing. I can’t even figure out why or how it’s collecting water when I don’t use the dehumidifier portion. Regardless, every other day, a new swap has formed in the bottom. I was ready to accept this lil droids flaws of it could quell the infernal hell that was my room, but alas, it could not. Hell is roughly 200 sq ft with 2 doors to minimize some of that area and this lil droid, set at 63 degrees, can’t even manage to keep it a solid 68 degrees. Don’t waste your money on this. It my humble opinion, this is not the droid you are looking for.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Remote from your phone doesn't work 😒
  
",1.0 颗星，最多 5 颗星,Monica Drake,评论于 2022年9月3日 在美国 🇺🇸 发布,"







  
  
    The AC works well noise is regular it's not as quiet as it makes it sound on  the advertising.  to hook up your remote to your phone really sucks doesn't work And that is one of the things that  i needed for me that I really wanted to work was I could be at work-and-turn on my AC for my animals. But it doesn't work and I have a Samsung galaxy note 20 5G so I would think it would work. 🤔DISAPPOINTED 😞 😥
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=11
,"







  
  
    Low noise
  
",4.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年9月2日 在美国 🇺🇸 发布,"







  
  
    Easy to install and noise level was good compared to others I have. Only one issue not to much control in direction it blows only one small handle to direct air
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Outstanding portable AC
  
",5.0 颗星，最多 5 颗星,Henry R.,评论于 2022年9月1日 在美国 🇺🇸 发布,"







  
  
    Bought this unit to replace my Delongui Pinguin 10,000 BTU because it was not keeping my garage cool. I can honestly attest that this unit is Fantastic- it truly delivers! I've been using it for 2 weeks and keeps my garage at the set temperature thru the day. Buy it- it is worthed.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Broke after 1 year of very light use - ZERO support from Midea
  
",1.0 颗星，最多 5 颗星,Sarah,评论于 2022年8月31日 在美国 🇺🇸 发布,"







  
  
    Our Midea Duo 12,000 BTU portable AC unit has been completely non-responsive and doesn't turn on at all after owning it for 13 months. We live in a very mild climate so only really use it when there is a heat wave in the summer. Called Midea customer service and they offer zero support, no advice on how to fix it, no resources at all. Apparently if it was still within the 1-year warranty they would offer an exchange. Very disappointing considering this is a $600 product.I tried emptying the water tray (it was already empty though), tried unplugging it and leaving it unplugged for 10-15 minutes, even multiple days, but plugging it back in and it still does not respond. There is no error message, it just is completely dead. Very very disappointing.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Be careful following the manufacturer's instructions
  
",2.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年8月31日 在美国 🇺🇸 发布,"







  
  
    The product itself works well enough, but the instructions and support are terrible. The instructions tell you to attach the adhesive foam to your window frame, and like an idiot, I followed the instructions. This makes the ""portable"" AC no longer portable since it now has to be in that one place, and you won't be able to move it to another place without buying additional adhesive foam, which the manufacturer will not supply.Instead what I should have done was to attach the adhesive foam to the slider itself so that it can be moved around or put away without putting a punch of sticky gunk on my window frame.I contacted Midea's customer support and they blamed me for following their instructions (which they also included in the video on the Amazon page), and wanted to charge me for an entire installation kit even though all I needed was replacement adhesive foam.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Quit working
  
",2.0 颗星，最多 5 颗星,Susan Fox,评论于 2022年8月30日 在美国 🇺🇸 发布,"







  
  
    This air conditioner quit working after only having it for 1 year, only used for a total of 4 months & because my warranty expired I can’t get a replacement.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Outstanding Product
  
",5.0 颗星，最多 5 颗星,OWL,评论于 2022年8月30日 在美国 🇺🇸 发布,"







  
  
    The portable ac unit is high quality and met my needs. Performance of ac unit provides efficient cooling and comfort at low noise level. I’m very satisfied with my purchase of this unit.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Works good but I have metal shavings in the water tank
  
",3.0 颗星，最多 5 颗星,Jared DeJong,评论于 2022年8月29日 在美国 🇺🇸 发布,"







  
  
    After owning this unit for a few weeks I’ve noticed some pros and cons to the air conditioner.Pros:gets cold fast and can easily cool down my bedroom quicklyComes with a remote that can be programmed with specific settingsRemote has a backlightUnit isn’t too noisyHas multiple fan speedsEasy installationPackaged well and instructions were clearCons:Needs to have a drain hose connected or it will stop at the most inconvenient times demanding ti be drainedI had metal shavings in the water for the first few weeks (midea said this is normal supposedly)Has a musty smell that comes and goes when the compressor kicks on and offOverall it’s a good buy and works well but keep in mind that you have to have a way for this thing to drain the water it accumulates while running (I use a pitcher and cut the included hose shorter so it can run overnight without turning off.)
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Good option if window unit is impractical
  
",4.0 颗星，最多 5 颗星,Edward Turpin,评论于 2022年8月28日 在美国 🇺🇸 发布,"







  
  
    This is the best portable AC I've found/used. My previous portable AC with the same ASHRAE BTU rating could only keep my room 10 degrees cooler than outdoors, which was unacceptable since we had 3 solid months of >100F weather this year. This unit can keep my room at least 18F degrees cooler than outdoors. I think the dual-hose design really helps. I think to get any better cooling performance you would have to get a window AC unit, which could get you ~3000 more BTU on a normal 15-amp, 120v outlet.This AC is also much quieter than my previous portable. Not as quiet as a newer, quality window unit, but close to it on the lowest setting. I think this unit uses a variable speed compressor motor, making it quieter and more efficient than ACs without.I do not like the remote control. It's very large. It has an LCD display that is supposed to show things like the mode and temperature set-point, but it will sometimes get of of sync with the AC unit (if you use the controls on the unit itself, or the AC unit didn't receive the IR signal from the remote).I haven't tried the heating function out yet, so can't comment on that. I plan on using it this winter, so I hope it works well.In conclusion, if a window AC is impractical for whatever reason (window location/type not suitable), this is a solid choice.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Great air conditioner
  
",5.0 颗星，最多 5 颗星,candp,评论于 2022年8月27日 在美国 🇺🇸 发布,"







  
  
    Cools great. Low noise.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    So loud
  
",1.0 颗星，最多 5 颗星,RL,评论于 2022年8月26日 在美国 🇺🇸 发布,"







  
  
    Not cool and so loud. So loud, unbelievable loudly.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=12
,"







  
  
    Perfect for my bedroom
  
",5.0 颗星，最多 5 颗星,Darlene Hagopian,评论于 2022年8月26日 在美国 🇺🇸 发布,"







  
  
    The window in my bedroom is too small for a conventional air-conditioner so this was perfect. It works well keeping my bedroom cool enough so I can sleep
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Best portable unit you can get.
  
",5.0 颗星，最多 5 颗星,Steve,评论于 2022年8月25日 在美国 🇺🇸 发布,"







  
  
    Rating was based on comparison to other portable units.This is the best performing portable unit you can get.  I have no qualms in saying that.  I have only really tried cooling with it, but it does everything I would expect out of an inverter unit.  It ramps down and oscillates at the set temperature.  Much more efficient than full on or full off.As with all inverter units, the rating is not what it actually is.  This is probably more of a 10000 btu unit.  But it does a good job.Havent had any issues with drainage, but its dry here in Southern Utah.This really is a unique design.  It's a mini split in a portable package.  Cant wait to try heat out.  I will update once I start using the heat.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Powerful, quiet, efficient
  
",2.0 颗星，最多 5 颗星,Kyle Appel,评论于 2022年8月25日 在美国 🇺🇸 发布,"







  
  
    Bought an equivalent HiSense unit that sounded like a jet taking off and failed to cool my 500sqft space. This thing is super quiet, cools the space with ease, and readily integrated with Alexa. My only gripe is Alexa can't set the fan speed back to auto. Setup was simple, and the unit came with adhesive insulation for the window, window insert, and an insulated sleeve for the hose further boosting efficiency. My monthly AC cost dropped by about 20% or more compared to the other unit.UPDATE: Discovered today the heat function shuts off below 41 F to protect the coil from frost. Where I live fall sees nighttime temperatures dip below freezing often and it's unacceptable to have the heater shut off when its needed most. I'm trying to delay firing up my boiler with oil costs. This product is falling well short of my expectations for its heating function. Proper air source heat pumps briefly turn on the AC to thaw the coil then switch back to heat. They don't let their customers freeze.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
,"







  
  
    Does not cool as advertised
  
",1.0 颗星，最多 5 颗星,Sally J.,评论于 2022年8月25日 在美国 🇺🇸 发布,"







  
  
    I bought this to cool a small room (144sq ft) and it did not keep it cool. Returned it.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_13?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=13
